,AAPL,CGC,AMD,EWZ,MCD,XLF,XLE,SQ
11:03:32,220.9698944091797,49.95899963378906,26.46500015258789,39.04999923706055,167.2100067138672,26.825000762939453,72.37000274658203,77.10379791259766
11:04:28,220.85000610351562,49.90999984741211,26.439899444580078,38.9900016784668,167.08999633789062,26.815000534057617,72.33000183105469,76.95610046386719
11:04:58,220.74000549316406,49.92620086669922,26.40850067138672,38.970001220703125,167.02769470214844,26.80500030517578,72.30000305175781,77.08999633789062
11:05:28,220.8101043701172,49.9390983581543,26.43000030517578,38.959999084472656,167.10499572753906,26.800100326538086,72.33000183105469,77.20680236816406
11:06:01,220.92999267578125,49.97999954223633,26.454999923706055,38.959999084472656,167.11000061035156,26.809999465942383,72.33999633789062,77.1500015258789
11:06:43,220.8800048828125,49.96009826660156,26.453899383544922,38.939998626708984,167.05999755859375,26.803499221801758,72.31800079345703,77.1541976928711
11:07:13,220.9199981689453,49.95209884643555,26.5,38.970001220703125,167.10000610351562,26.809999465942383,72.3499984741211,77.18000030517578
11:07:54,220.99000549316406,50.04800033569336,26.50200080871582,38.970001220703125,167.1199951171875,26.822900772094727,72.39199829101562,77.23999786376953
11:08:26,220.94000244140625,49.952701568603516,26.459999084472656,38.93000030517578,167.1199951171875,26.81999969482422,72.37999725341797,77.16999816894531
11:09:17,221.1300048828125,49.89799880981445,26.485000610351562,38.904998779296875,167.1107940673828,26.83690071105957,72.37000274658203,77.30000305175781
11:09:47,221.0522003173828,49.928199768066406,26.459999084472656,38.900001525878906,167.14999389648438,26.824499130249023,72.36000061035156,77.23750305175781
11:10:31,220.99000549316406,49.94279861450195,26.469999313354492,38.90999984741211,167.24000549316406,26.845800399780273,72.38999938964844,77.23999786376953
11:11:06,221.02999877929688,49.970001220703125,26.459999084472656,38.8849983215332,167.1699981689453,26.834999084472656,72.38999938964844,77.16400146484375
11:11:46,220.9600067138672,49.95090103149414,26.450000762939453,38.86000061035156,167.17059326171875,26.833099365234375,72.37000274658203,77.13040161132812
11:12:26,220.6699981689453,49.84000015258789,26.40999984741211,38.83000183105469,167.13499450683594,26.834999084472656,72.3499984741211,77.0
11:12:56,220.75880432128906,49.959999084472656,26.43000030517578,38.84000015258789,167.14999389648438,26.854999542236328,72.4000015258789,77.09500122070312
11:13:26,220.8699951171875,49.95000076293945,26.489999771118164,38.81999969482422,167.16000366210938,26.85449981689453,72.41000366210938,77.22000122070312
11:13:56,220.94000244140625,49.9900016784668,26.510000228881836,38.85499954223633,167.3300018310547,26.864999771118164,72.44999694824219,77.32640075683594
11:14:26,220.85069274902344,49.97999954223633,26.49679946899414,38.83000183105469,167.3300018310547,26.860000610351562,72.44999694824219,77.27999877929688
11:15:05,220.80999755859375,50.040000915527344,26.459999084472656,38.810001373291016,167.33999633789062,26.864999771118164,72.51000213623047,77.31999969482422
11:15:40,220.88999938964844,50.060001373291016,26.479999542236328,38.83000183105469,167.27999877929688,26.854999542236328,72.4800033569336,77.30000305175781
11:16:30,220.89999389648438,50.08000183105469,26.489999771118164,38.77000045776367,167.42999267578125,26.850000381469727,72.48999786376953,77.4800033569336
11:17:00,220.8699951171875,50.06999969482422,26.49679946899414,38.779998779296875,167.4499969482422,26.860000610351562,72.48999786376953,77.52020263671875
11:17:30,220.63999938964844,50.14099884033203,26.479999542236328,38.77000045776367,167.3699951171875,26.84000015258789,72.44999694824219,77.47250366210938
11:18:10,220.61000061035156,50.12030029296875,26.440000534057617,38.775001525878906,167.39999389648438,26.829999923706055,72.45999908447266,77.52980041503906
11:18:54,220.5500030517578,50.13159942626953,26.420000076293945,38.75,167.3800048828125,26.829999923706055,72.44999694824219,77.4999008178711
11:19:27,220.5,50.119998931884766,26.40999984741211,38.755001068115234,167.3800048828125,26.815000534057617,72.41999816894531,77.38999938964844
11:20:00,220.35000610351562,50.099998474121094,26.389999389648438,38.7400016784668,167.40499877929688,26.821500778198242,72.4000015258789,77.40509796142578
11:20:33,220.39959716796875,50.150001525878906,26.44499969482422,38.75,167.4250030517578,26.834999084472656,72.41000366210938,77.51000213623047
11:21:12,220.3695068359375,50.0,26.424999237060547,38.72999954223633,167.3699951171875,26.807300567626953,72.3364028930664,77.46499633789062
11:21:48,220.33999633789062,49.90999984741211,26.399999618530273,38.709999084472656,167.3227996826172,26.809999465942383,72.31999969482422,77.33000183105469
11:22:18,220.0399932861328,49.970001220703125,26.350000381469727,38.70000076293945,167.32000732421875,26.815900802612305,72.29499816894531,77.05000305175781
11:22:48,220.0399932861328,49.84000015258789,26.315000534057617,38.709999084472656,167.22000122070312,26.80500030517578,72.28500366210938,77.06079864501953
11:23:18,219.97999572753906,49.869998931884766,26.290000915527344,38.689998626708984,167.1699981689453,26.799999237060547,72.23999786376953,77.09110260009766
11:23:50,220.0498046875,49.93000030517578,26.280000686645508,38.709999084472656,167.22000122070312,26.799999237060547,72.2300033569336,77.08999633789062
11:24:32,220.0404052734375,49.857200622558594,26.263399124145508,38.7599983215332,167.27999877929688,26.799999237060547,72.25,77.09030151367188
11:25:18,219.9199981689453,49.72330093383789,26.196399688720703,38.75,167.27999877929688,26.80419921875,72.20999908447266,76.9209976196289
11:25:48,219.94000244140625,49.7400016784668,26.219999313354492,38.7599983215332,167.32000732421875,26.799999237060547,72.20999908447266,76.91999816894531
11:26:33,220.05999755859375,49.75,26.260000228881836,38.75,167.25999450683594,26.79010009765625,72.16999816894531,77.08499908447266
11:27:12,220.0850067138672,49.75960159301758,26.229999542236328,38.77349853515625,167.25999450683594,26.794200897216797,72.19999694824219,77.12999725341797
11:27:55,220.13999938964844,49.81230163574219,26.207700729370117,38.779998779296875,167.2404022216797,26.799999237060547,72.19999694824219,77.05249786376953
11:28:29,220.0500030517578,49.77899932861328,26.21500015258789,38.75,167.22999572753906,26.813600540161133,72.19999694824219,76.94000244140625
11:29:02,220.14019775390625,49.73569869995117,26.22599983215332,38.779998779296875,167.22999572753906,26.815000534057617,72.22000122070312,76.95999908447266
11:29:38,220.1300048828125,49.70000076293945,26.221399307250977,38.779998779296875,167.2899932861328,26.809999465942383,72.2300033569336,76.94000244140625
11:30:13,219.88999938964844,49.599998474121094,26.200000762939453,38.7400016784668,167.27000427246094,26.795000076293945,72.20999908447266,76.91000366210938
11:30:43,220.0399932861328,49.65999984741211,26.209999084472656,38.75,167.27490234375,26.799999237060547,72.19999694824219,76.91999816894531
11:31:21,220.02699279785156,49.61000061035156,26.209999084472656,38.77000045776367,167.27499389648438,26.794200897216797,72.19000244140625,76.91000366210938
11:31:56,219.92999267578125,49.58000183105469,26.18000030517578,38.75,167.27999877929688,26.799999237060547,72.19999694824219,76.91999816894531
11:32:36,219.83999633789062,49.564998626708984,26.135000228881836,38.72999954223633,167.19000244140625,26.774999618530273,72.12940216064453,76.65380096435547
11:33:06,219.69000244140625,49.52000045776367,26.104999542236328,38.70000076293945,167.16000366210938,26.78499984741211,72.1500015258789,76.75499725341797
11:33:36,219.6750030517578,49.540000915527344,26.094999313354492,38.72999954223633,167.17999267578125,26.764999389648438,72.12999725341797,76.74040222167969
11:34:10,219.60499572753906,49.5,26.010000228881836,38.720001220703125,167.1699981689453,26.760000228881836,72.11000061035156,76.76000213623047
11:34:40,219.64999389648438,49.59989929199219,26.0,38.76499938964844,167.27000427246094,26.770000457763672,72.1500015258789,76.83999633789062
11:35:24,219.74859619140625,49.522499084472656,26.024999618530273,38.77000045776367,167.3300018310547,26.78499984741211,72.12999725341797,76.70790100097656
11:35:59,219.58999633789062,49.560001373291016,26.02989959716797,38.7599983215332,167.27999877929688,26.760000228881836,72.05000305175781,76.61070251464844
11:36:33,219.41000366210938,49.470699310302734,25.979999542236328,38.78499984741211,167.27000427246094,26.7549991607666,72.05000305175781,76.4375
11:37:03,219.2899932861328,49.41999816894531,25.959999084472656,38.77000045776367,167.19000244140625,26.7450008392334,72.0199966430664,76.44270324707031
11:37:33,219.39840698242188,49.369998931884766,25.989999771118164,38.75,167.19000244140625,26.75,72.0,76.44000244140625
11:38:12,219.6999969482422,49.43069839477539,26.030000686645508,38.78499984741211,167.17999267578125,26.770000457763672,72.0199966430664,76.31999969482422
11:38:51,219.57000732421875,49.470001220703125,25.989999771118164,38.76499938964844,167.10000610351562,26.75,72.02999877929688,76.3489990234375
11:39:25,219.6300048828125,49.400001525878906,25.975000381469727,38.790000915527344,167.14999389648438,26.751300811767578,72.01000213623047,76.34010314941406
11:39:55,219.77000427246094,49.458499908447266,25.96500015258789,38.814998626708984,167.22000122070312,26.7549991607666,72.01000213623047,76.33679962158203
11:40:38,219.8000030517578,49.40999984741211,25.969999313354492,38.779998779296875,167.1273956298828,26.75,71.97000122070312,76.30999755859375
11:41:12,219.8300018310547,49.414798736572266,26.0,38.790000915527344,167.17999267578125,26.745399475097656,71.95999908447266,76.2699966430664
11:41:46,219.84500122070312,49.36989974975586,26.040000915527344,38.79999923706055,167.2100067138672,26.739900588989258,71.94999694824219,76.3499984741211
11:42:16,219.8000030517578,49.25,25.979999542236328,38.779998779296875,167.13999938964844,26.719999313354492,71.91999816894531,76.05000305175781
11:42:46,219.55999755859375,49.209999084472656,25.93000030517578,38.790000915527344,167.16000366210938,26.7450008392334,71.9800033569336,76.0
11:43:19,219.72959899902344,49.220001220703125,25.959999084472656,38.83000183105469,167.25,26.7549991607666,72.0,76.0999984741211
11:43:49,219.85009765625,49.28030014038086,25.96430015563965,38.83000183105469,167.27000427246094,26.7450008392334,71.98999786376953,76.1500015258789
11:44:19,219.7899932861328,49.36940002441406,25.93000030517578,38.83000183105469,167.32000732421875,26.744199752807617,72.01499938964844,76.09159851074219
11:44:53,219.67999267578125,49.40140151977539,25.950000762939453,38.84000015258789,167.32000732421875,26.745800018310547,72.0,76.19999694824219
11:45:23,219.6990966796875,49.440101623535156,25.950000762939453,38.869998931884766,167.36000061035156,26.760000228881836,72.06999969482422,76.4000015258789
11:45:53,219.8699951171875,49.5525016784668,25.979999542236328,38.869998931884766,167.39999389648438,26.75,72.05999755859375,76.37000274658203
11:46:23,219.8699951171875,49.587799072265625,25.96500015258789,38.869998931884766,167.39999389648438,26.75,72.08000183105469,76.30609893798828
11:46:58,219.9600067138672,49.560001373291016,25.979900360107422,38.900001525878906,167.42999267578125,26.759000778198242,72.08000183105469,76.22000122070312
11:47:28,219.93930053710938,49.541500091552734,25.96500015258789,38.869998931884766,167.42999267578125,26.75,72.08000183105469,76.23999786376953
11:48:21,219.82000732421875,49.58000183105469,25.989999771118164,38.869998931884766,167.4199981689453,26.760900497436523,72.08000183105469,76.18080139160156
11:49:00,219.81500244140625,49.55329895019531,25.975000381469727,38.84000015258789,167.42999267578125,26.7549991607666,72.06999969482422,76.11000061035156
11:49:50,219.6999969482422,49.42900085449219,25.920000076293945,38.8650016784668,167.47999572753906,26.7549991607666,72.08000183105469,76.0199966430664
11:50:30,219.8300018310547,49.4900016784668,25.9601993560791,38.86000061035156,167.47999572753906,26.774999618530273,72.13999938964844,76.11000061035156
11:51:00,219.9499969482422,49.439998626708984,25.968900680541992,38.8650016784668,167.50999450683594,26.790000915527344,72.1500015258789,76.2605972290039
11:51:30,220.0399932861328,49.38999938964844,25.967199325561523,38.880001068115234,167.47999572753906,26.790000915527344,72.1500015258789,76.26000213623047
11:52:00,220.00999450683594,49.36000061035156,25.950000762939453,38.849998474121094,167.52999877929688,26.78499984741211,72.13999938964844,76.13999938964844
11:52:44,219.91000366210938,49.32080078125,25.905000686645508,38.81999969482422,167.5,26.775800704956055,72.1500015258789,75.99079895019531
11:53:24,219.6300048828125,49.220001220703125,25.850000381469727,38.814998626708984,167.42999267578125,26.780000686645508,72.16000366210938,75.91999816894531
11:53:54,219.19000244140625,49.21950149536133,25.850000381469727,38.7599983215332,167.3800048828125,26.764999389648438,72.19000244140625,75.77999877929688
11:54:24,219.27859497070312,49.28900146484375,25.84000015258789,38.7599983215332,167.39999389648438,26.764999389648438,72.18000030517578,75.72869873046875
11:54:57,219.1300048828125,49.28329849243164,25.799999237060547,38.7599983215332,167.3800048828125,26.760499954223633,72.16999816894531,75.62000274658203
11:55:30,219.05999755859375,49.29410171508789,25.799999237060547,38.75,167.3800048828125,26.780000686645508,72.18000030517578,75.6874008178711
